CONTRACT_ID,PLAN_ID,SEGMENT_ID,COVERAGE_LEVEL,TIER,DAYS_SUPPLY,COST_TYPE_PREF,COST_AMT_PREF,COST_MIN_AMT_PREF,COST_MAX_AMT_PREF,COST_TYPE_NONPREF,COST_AMT_NONPREF,COST_MIN_AMT_NONPREF,COST_MAX_AMT_NONPREF,COST_TYPE_MAIL_PREF,COST_AMT_MAIL_PREF,COST_MIN_AMT_MAIL_PREF,COST_MAX_AMT_MAIL_PREF,COST_TYPE_MAIL_NONPREF,COST_AMT_MAIL_NONPREF,COST_MIN_AMT_MAIL_NONPREF,COST_MAX_AMT_MAIL_NONPREF,TIER_SPECIALTY_YN,DED_APPLIES_YN
H5050,027,000,3,2,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,027,000,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,027,000,3,3,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,027,000,3,3,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,027,000,3,4,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,027,000,3,4,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,027,000,3,4,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,027,000,3,5,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,027,000,3,5,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,027,000,3,5,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,027,000,3,6,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,027,000,3,6,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,027,000,3,6,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,028,000,1,1,1,1,3,0,0,1,15,0,0,0,0,0,0,1,0,0,0,N,N
H5050,028,000,1,1,2,1,9,0,0,1,45,0,0,0,0,0,0,1,0,0,0,N,N
H5050,028,000,1,1,4,1,6,0,0,1,30,0,0,0,0,0,0,1,0,0,0,N,N
H5050,028,000,1,2,1,1,10,0,0,1,20,0,0,0,0,0,0,1,10,0,0,N,N
H5050,028,000,1,2,2,1,30,0,0,1,60,0,0,0,0,0,0,1,0,0,0,N,N
H5050,028,000,1,2,4,1,20,0,0,1,40,0,0,0,0,0,0,1,0,0,0,N,N
H5050,028,000,1,3,1,1,47,0,0,1,47,0,0,0,0,0,0,1,47,0,0,N,N
H5050,028,000,1,3,2,1,141,0,0,1,141,0,0,0,0,0,0,1,117.5,0,0,N,N
H5050,028,000,1,3,4,1,94,0,0,1,94,0,0,0,0,0,0,1,94,0,0,N,N
H5050,028,000,1,4,1,1,99,0,0,1,99,0,0,0,0,0,0,1,99,0,0,N,N
H5050,028,000,1,4,2,1,297,0,0,1,297,0,0,0,0,0,0,1,247.5,0,0,N,N
H5050,028,000,1,4,4,1,198,0,0,1,198,0,0,0,0,0,0,1,198,0,0,N,N
H5050,028,000,1,5,1,2,0.29,0,0,2,0.29,0,0,0,0,0,0,2,0.29,0,0,Y,N
H5050,028,000,1,5,2,2,0.29,0,0,2,0.29,0,0,0,0,0,0,2,0.29,0,0,Y,N
H5050,028,000,1,5,4,2,0.29,0,0,2,0.29,0,0,0,0,0,0,2,0.29,0,0,Y,N
H5050,028,000,1,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N,N
H5050,028,000,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,028,000,3,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,028,000,3,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,028,000,3,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,028,000,3,2,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,028,000,3,2,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,028,000,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,028,000,3,3,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,028,000,3,3,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,028,000,3,4,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,028,000,3,4,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,028,000,3,4,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,028,000,3,5,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,028,000,3,5,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,028,000,3,5,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,028,000,3,6,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,028,000,3,6,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,028,000,3,6,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,029,000,1,1,1,1,3,0,0,1,15,0,0,0,0,0,0,1,0,0,0,N,N
H5050,029,000,1,1,2,1,9,0,0,1,45,0,0,0,0,0,0,1,0,0,0,N,N
H5050,029,000,1,1,4,1,6,0,0,1,30,0,0,0,0,0,0,1,0,0,0,N,N
H5050,029,000,1,2,1,1,10,0,0,1,20,0,0,0,0,0,0,1,10,0,0,N,N
H5050,029,000,1,2,2,1,30,0,0,1,60,0,0,0,0,0,0,1,0,0,0,N,N
H5050,029,000,1,2,4,1,20,0,0,1,40,0,0,0,0,0,0,1,0,0,0,N,N
H5050,029,000,1,3,1,1,47,0,0,1,47,0,0,0,0,0,0,1,47,0,0,N,N
H5050,029,000,1,3,2,1,141,0,0,1,141,0,0,0,0,0,0,1,117.5,0,0,N,N
H5050,029,000,1,3,4,1,94,0,0,1,94,0,0,0,0,0,0,1,94,0,0,N,N
H5050,029,000,1,4,1,1,99,0,0,1,99,0,0,0,0,0,0,1,99,0,0,N,N
H5050,029,000,1,4,2,1,297,0,0,1,297,0,0,0,0,0,0,1,247.5,0,0,N,N
H5050,029,000,1,4,4,1,198,0,0,1,198,0,0,0,0,0,0,1,198,0,0,N,N
H5050,029,000,1,5,1,2,0.31,0,0,2,0.31,0,0,0,0,0,0,2,0.31,0,0,Y,N
H5050,029,000,1,5,2,2,0.31,0,0,2,0.31,0,0,0,0,0,0,2,0.31,0,0,Y,N
H5050,029,000,1,5,4,2,0.31,0,0,2,0.31,0,0,0,0,0,0,2,0.31,0,0,Y,N
H5050,029,000,1,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N,N
H5050,029,000,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,029,000,3,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,029,000,3,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,029,000,3,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,029,000,3,2,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,029,000,3,2,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,029,000,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,029,000,3,3,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,029,000,3,3,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,029,000,3,4,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,029,000,3,4,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,029,000,3,4,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,029,000,3,5,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,029,000,3,5,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,029,000,3,5,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,029,000,3,6,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,029,000,3,6,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,029,000,3,6,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,030,000,1,1,1,1,3,0,0,1,15,0,0,0,0,0,0,1,0,0,0,N,N
H5050,030,000,1,1,2,1,9,0,0,1,45,0,0,0,0,0,0,1,0,0,0,N,N
H5050,030,000,1,1,4,1,6,0,0,1,30,0,0,0,0,0,0,1,0,0,0,N,N
H5050,030,000,1,2,1,1,10,0,0,1,20,0,0,0,0,0,0,1,10,0,0,N,N
H5050,030,000,1,2,2,1,30,0,0,1,60,0,0,0,0,0,0,1,0,0,0,N,N
H5050,030,000,1,2,4,1,20,0,0,1,40,0,0,0,0,0,0,1,0,0,0,N,N
H5050,030,000,1,3,1,1,47,0,0,1,47,0,0,0,0,0,0,1,47,0,0,N,N
H5050,030,000,1,3,2,1,141,0,0,1,141,0,0,0,0,0,0,1,117.5,0,0,N,N
H5050,030,000,1,3,4,1,94,0,0,1,94,0,0,0,0,0,0,1,94,0,0,N,N
H5050,030,000,1,4,1,1,99,0,0,1,99,0,0,0,0,0,0,1,99,0,0,N,N
H5050,030,000,1,4,2,1,297,0,0,1,297,0,0,0,0,0,0,1,247.5,0,0,N,N
H5050,030,000,1,4,4,1,198,0,0,1,198,0,0,0,0,0,0,1,198,0,0,N,N
H5050,030,000,1,5,1,2,0.31,0,0,2,0.31,0,0,0,0,0,0,2,0.31,0,0,Y,N
H5050,030,000,1,5,2,2,0.31,0,0,2,0.31,0,0,0,0,0,0,2,0.31,0,0,Y,N
H5050,030,000,1,5,4,2,0.31,0,0,2,0.31,0,0,0,0,0,0,2,0.31,0,0,Y,N
H5050,030,000,1,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N,N
H5050,030,000,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,030,000,3,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,030,000,3,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,030,000,3,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,030,000,3,2,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,030,000,3,2,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,030,000,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,030,000,3,3,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,030,000,3,3,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,030,000,3,4,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,030,000,3,4,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,030,000,3,4,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,030,000,3,5,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,030,000,3,5,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,030,000,3,5,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,030,000,3,6,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,030,000,3,6,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,030,000,3,6,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,031,000,1,1,1,1,3,0,0,1,15,0,0,0,0,0,0,1,0,0,0,N,N
H5050,031,000,1,1,2,1,9,0,0,1,45,0,0,0,0,0,0,1,0,0,0,N,N
H5050,031,000,1,1,4,1,6,0,0,1,30,0,0,0,0,0,0,1,0,0,0,N,N
H5050,031,000,1,2,1,1,10,0,0,1,20,0,0,0,0,0,0,1,10,0,0,N,N
H5050,031,000,1,2,2,1,30,0,0,1,60,0,0,0,0,0,0,1,0,0,0,N,N
H5050,031,000,1,2,4,1,20,0,0,1,40,0,0,0,0,0,0,1,0,0,0,N,N
H5050,031,000,1,3,1,1,47,0,0,1,47,0,0,0,0,0,0,1,47,0,0,N,N
H5050,031,000,1,3,2,1,141,0,0,1,141,0,0,0,0,0,0,1,117.5,0,0,N,N
H5050,031,000,1,3,4,1,94,0,0,1,94,0,0,0,0,0,0,1,94,0,0,N,N
H5050,031,000,1,4,1,1,99,0,0,1,99,0,0,0,0,0,0,1,99,0,0,N,N
H5050,031,000,1,4,2,1,297,0,0,1,297,0,0,0,0,0,0,1,247.5,0,0,N,N
H5050,031,000,1,4,4,1,198,0,0,1,198,0,0,0,0,0,0,1,198,0,0,N,N
H5050,031,000,1,5,1,2,0.31,0,0,2,0.31,0,0,0,0,0,0,2,0.31,0,0,Y,N
H5050,031,000,1,5,2,2,0.31,0,0,2,0.31,0,0,0,0,0,0,2,0.31,0,0,Y,N
H5050,031,000,1,5,4,2,0.31,0,0,2,0.31,0,0,0,0,0,0,2,0.31,0,0,Y,N
H5050,031,000,1,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N,N
H5050,031,000,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,031,000,3,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,031,000,3,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,031,000,3,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,031,000,3,2,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,031,000,3,2,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,031,000,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,031,000,3,3,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,031,000,3,3,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,031,000,3,4,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,031,000,3,4,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,031,000,3,4,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,031,000,3,5,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,031,000,3,5,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,031,000,3,5,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,031,000,3,6,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,031,000,3,6,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,031,000,3,6,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,032,000,1,1,1,1,3,0,0,1,15,0,0,0,0,0,0,1,0,0,0,N,N
H5050,032,000,1,1,2,1,9,0,0,1,45,0,0,0,0,0,0,1,0,0,0,N,N
H5050,032,000,1,1,4,1,6,0,0,1,30,0,0,0,0,0,0,1,0,0,0,N,N
H5050,032,000,1,2,1,1,10,0,0,1,20,0,0,0,0,0,0,1,10,0,0,N,N
H5050,032,000,1,2,2,1,30,0,0,1,60,0,0,0,0,0,0,1,0,0,0,N,N
H5050,032,000,1,2,4,1,20,0,0,1,40,0,0,0,0,0,0,1,0,0,0,N,N
H5050,032,000,1,3,1,1,47,0,0,1,47,0,0,0,0,0,0,1,47,0,0,N,N
H5050,032,000,1,3,2,1,141,0,0,1,141,0,0,0,0,0,0,1,117.5,0,0,N,N
H5050,032,000,1,3,4,1,94,0,0,1,94,0,0,0,0,0,0,1,94,0,0,N,N
H5050,032,000,1,4,1,1,99,0,0,1,99,0,0,0,0,0,0,1,99,0,0,N,N
H5050,032,000,1,4,2,1,297,0,0,1,297,0,0,0,0,0,0,1,247.5,0,0,N,N
H5050,032,000,1,4,4,1,198,0,0,1,198,0,0,0,0,0,0,1,198,0,0,N,N
H5050,032,000,1,5,1,2,0.3,0,0,2,0.3,0,0,0,0,0,0,2,0.3,0,0,Y,N
H5050,032,000,1,5,2,2,0.3,0,0,2,0.3,0,0,0,0,0,0,2,0.3,0,0,Y,N
H5050,032,000,1,5,4,2,0.3,0,0,2,0.3,0,0,0,0,0,0,2,0.3,0,0,Y,N
H5050,032,000,1,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N,N
H5050,032,000,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,032,000,3,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,032,000,3,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,032,000,3,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,032,000,3,2,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,032,000,3,2,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,032,000,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,032,000,3,3,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,032,000,3,3,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,032,000,3,4,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,032,000,3,4,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,032,000,3,4,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,032,000,3,5,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,032,000,3,5,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,032,000,3,5,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Y,N
H5050,032,000,3,6,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,032,000,3,6,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
H5050,032,000,3,6,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,N,N
S5743,001,000,1,1,1,1,0,0,0,1,5,0,0,1,0,0,0,1,5,0,0,N,Y
S5743,001,000,1,1,2,1,0,0,0,1,15,0,0,1,0,0,0,1,15,0,0,N,Y
S5743,001,000,1,1,4,1,0,0,0,1,10,0,0,1,0,0,0,1,10,0,0,N,Y
S5743,001,000,1,2,1,1,1,0,0,1,7,0,0,1,1,0,0,1,7,0,0,N,Y
S5743,001,000,1,2,2,1,3,0,0,1,21,0,0,1,3,0,0,1,21,0,0,N,Y
S5743,001,000,1,2,4,1,2,0,0,1,14,0,0,1,2,0,0,1,14,0,0,N,Y
S5743,001,000,1,3,1,2,0.22,0,0,2,0.25,0,0,2,0.22,0,0,2,0.25,0,0,N,Y
S5743,001,000,1,3,2,2,0.22,0,0,2,0.25,0,0,2,0.22,0,0,2,0.25,0,0,N,Y
S5743,001,000,1,3,4,2,0.22,0,0,2,0.25,0,0,2,0.22,0,0,2,0.25,0,0,N,Y
S5743,001,000,1,4,1,2,0.42,0,0,2,0.5,0,0,2,0.42,0,0,2,0.5,0,0,N,Y
S5743,001,000,1,4,2,2,0.42,0,0,2,0.5,0,0,2,0.42,0,0,2,0.5,0,0,N,Y
S5743,001,000,1,4,4,2,0.42,0,0,2,0.5,0,0,2,0.42,0,0,2,0.5,0,0,N,Y
S5743,001,000,1,5,1,2,0.25,0,0,2,0.25,0,0,2,0.25,0,0,2,0.25,0,0,Y,Y
S5743,001,000,3,1,1,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,N,Y
S5743,001,000,3,1,2,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,N,Y
S5743,001,000,3,1,4,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,N,Y
S5743,001,000,3,2,1,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,N,Y
S5743,001,000,3,2,2,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,N,Y
S5743,001,000,3,2,4,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,N,Y
S5743,001,000,3,3,1,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,N,Y
S5743,001,000,3,3,2,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,N,Y
S5743,001,000,3,3,4,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,N,Y
S5743,001,000,3,4,1,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,N,Y
S5743,001,000,3,4,2,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,N,Y
S5743,001,000,3,4,4,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,N,Y
S5743,001,000,3,5,1,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,Y,Y
S5743,001,000,3,5,2,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,Y,Y
S5743,001,000,3,5,4,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,Y,Y
